latitude,longitude
10.7757188,106.6600157
10.7757501,106.660063
10.7757352,106.6600308
10.7757352,106.6600308
10.7757403,106.6600473
10.7757326,106.6600479
10.7756801,106.6600064
10.7757349,106.660021
10.775749,106.6600242
10.775745,106.6600317
10.7757561,106.660031
10.7757343,106.6600095
10.7757343,106.6600095
10.7758194,106.6602236
10.7758119,106.6601945
10.7758031,106.6601822
10.7757806,106.6602102
10.7757748,106.6602229
10.7757817,106.6602352
10.7758008,106.6602461
10.7757989,106.660254
10.7757027,106.6602558
10.7757224,106.6602551
10.775725,106.6602701
10.7757218,106.6602876
10.7757251,106.6602937
10.7757319,106.6603099
10.7757254,106.6603275
10.7757358,106.6603428
10.7757504,106.6603451
10.7757194,106.6603841
10.7756736,106.6604318
10.7754078,106.6605358
10.7753918,106.6605291
10.7753677,106.6605394
10.7751486,106.6606169
10.7751486,106.6606169
10.7751486,106.6606169
10.7751485,106.660617
10.7751485,106.660617
10.7751485,106.660617
10.7751486,106.6606167
10.7751486,106.6606167
10.7751486,106.6606167
10.7751485,106.6606153
10.7751485,106.6606153
10.7751485,106.6606153
10.7751459,106.6606137
10.7751459,106.6606137
10.7751459,106.6606137
10.7751459,106.6606137
10.7751402,106.6606085
10.7751402,106.6606085
10.7751402,106.6606085
10.77513,106.6606034
10.77513,106.6606034
10.77513,106.6606034
10.7751186,106.6605959
10.7751186,106.6605959
10.7751186,106.6605959
10.7751104,106.6605838
10.7751104,106.6605838
10.7751104,106.6605838
10.7751104,106.6605838
10.7751046,106.6605716
10.7751046,106.6605716
10.7751046,106.6605716
10.775102,106.6605594
10.775102,106.6605594
10.775102,106.6605594
10.7751003,106.6605472
10.7751003,106.6605472
10.7751003,106.6605472
10.7750984,106.6605363
10.7750984,106.6605363
10.7750984,106.6605363
10.7750968,106.6605258
10.7750968,106.6605258
10.7750968,106.6605258
10.775091,106.6605154
10.775091,106.6605154
10.775091,106.6605154
10.775091,106.6605154
10.7750854,106.6605053
10.7750854,106.6605053
10.7750854,106.6605053
10.7750788,106.6604964
10.7750788,106.6604964
10.7750788,106.6604964
10.7750747,106.6604867
10.7750747,106.6604867
10.7750747,106.6604867
10.7750701,106.6604767
10.7750701,106.6604767
10.7750701,106.6604767
10.7750701,106.6604767
10.7750677,106.6604678
10.7750677,106.6604678
10.7750677,106.6604678
10.775062,106.6604618
10.775062,106.6604618
10.775062,106.6604618
10.7750551,106.6604558
10.7750551,106.6604558
10.7750551,106.6604558
10.7750504,106.660455
10.7750423,106.6604584
10.7750296,106.6604647
10.7750112,106.6604432
10.7750018,106.6604189
10.775,106.6604101
10.7750001,106.6604086
10.7749989,106.6604068
10.7749957,106.6604094
10.7749683,106.6604183
10.7749186,106.6604303
10.7748866,106.6604289
10.7748669,106.6604091
10.7748571,106.660369
10.7748411,106.660333
10.7748309,106.6603019
10.7748199,106.6602806
10.774808,106.6602472
10.7747886,106.6601991
10.7747739,106.6601637
10.7747449,106.6601319
10.7747176,106.6601336
10.7746648,106.6601533
10.7746397,106.6601663
10.7745922,106.6601915
10.7745562,106.6602103
10.7745145,106.6602255
10.774476,106.6602378
10.7744377,106.6602497
10.7744004,106.6602591
10.7743716,106.6602611
10.7743455,106.6602311
10.774285,106.6601418
10.7742497,106.6600917
10.7742208,106.6600428
10.7741828,106.6599876
10.7741351,106.6599393
10.7740899,106.6598919
10.7740584,106.659924
10.7740047,106.6599485
10.7739421,106.659929
10.7738911,106.659882
10.7738481,106.6598314
10.7738126,106.6597836
10.7737687,106.6597429
10.7737279,106.6596921
10.7736839,106.6596339
10.7736473,106.659569
10.7736026,106.6595131
10.773545,106.6594621
10.7734947,106.6594108
10.7734308,106.6593809
10.7733786,106.6593421
10.7733272,106.6593003
10.7732853,106.6592604
10.7732385,106.6592175
10.7731896,106.6591822
10.7731408,106.65914
10.7731011,106.6591077
10.7730508,106.6590732
10.7730005,106.6590307
10.7729532,106.6590086
10.7729117,106.6589729
10.7728722,106.6589262
10.7728178,106.6588857
10.7727558,106.6588466
10.7726853,106.6588282
10.7726212,106.6588098
10.7725603,106.6587791
10.7725119,106.6587543
10.7724715,106.6587038
10.772429,106.658643
10.7724017,106.6585794
10.7723724,106.6585277
10.7723355,106.6584695
10.7723032,106.6584087
10.7722684,106.6583502
10.7722401,106.6582898
10.7722082,106.6582306
10.7721811,106.6581719
10.7721543,106.6581194
10.7721298,106.6580613
10.7721043,106.6580041
10.7720793,106.6579482
10.7720338,106.6578938
10.7719997,106.6578429
10.7719565,106.657816
10.7719224,106.6577802
10.7719005,106.6577339
10.7701397,106.6585677
10.7701397,106.6585677
10.7700234,106.658526
10.7700234,106.658526
10.7705436,106.6580747
10.7697924,106.6583139
10.769143,106.6584985
10.7686445,106.6587029
10.7680806,106.659004
10.7676178,106.6590854
10.7670021,106.6593924
10.7665046,106.659403
10.7663802,106.6593143
10.7661815,106.6593583
10.7659131,106.6593977
10.7656275,106.6594525
10.7653988,106.6595381
10.7650813,106.6596297
10.7648132,106.6597267
10.764559,106.6598257
10.7644219,106.6598632
10.7644034,106.6598799
10.7644033,106.65988
10.7644033,106.65988
10.7643577,106.6598884
10.7642449,106.6599138
10.7641656,106.6599377
10.7640746,106.6599996
10.7639297,106.6599953
10.7637563,106.6600422
10.7635167,106.6601126
10.763324,106.6601381
10.7632349,106.6601659
10.7631795,106.6601995
10.7631014,106.660217
10.7629959,106.6602658
10.7628319,106.6603364
10.7626089,106.6604158
10.7623278,106.6604715
10.7620561,106.6605093
10.7617666,106.6604663
10.7616209,106.6604976
10.7616005,106.6604806
10.7616017,106.66048
10.7615063,106.660525
10.761436,106.6605535
10.7613612,106.6605749
10.7612979,106.6606034
10.7612801,106.6606166
10.76128,106.6606167
10.7611686,106.6606859
10.7610602,106.66073
10.76106,106.6607383
10.76106,106.6607383
10.7609444,106.6607665
10.7608977,106.6608081
10.760824,106.6608527
10.7607563,106.6609176
10.7607118,106.6609463
10.7606685,106.6609668
10.7605824,106.6609765
10.7605617,106.66098
10.7605617,106.66098
10.7604752,106.6610229
10.760475,106.6610233
10.760475,106.6610233
10.760475,106.6610233
10.760475,106.6610233
10.760475,106.6610233
10.760475,106.6610233
10.7604575,106.6611166
10.7604451,106.6611366
10.760445,106.6611367
10.7603258,106.6611853
10.7602787,106.6612513
10.760279,106.6612968
10.7602931,106.6613451
10.7603137,106.6613805
10.7603355,106.6614333
10.7603445,106.6614865
10.760331,106.6615582
10.7603283,106.6615667
10.7603283,106.6615667
10.7603283,106.6615667
10.7603283,106.6615667
